effect_tooltip_cure_poison,gv_heroes_english,koreana,
buff_stat_tooltip_stress_heal_percent,gv_heroes_tooltip_overwrites,schinese,
buff_stat_tooltip_stress_heal_percent,gv_heroes_tooltip_overwrites,spanish,
effect_base_chance_format,gv_heroes_tooltip_overwrites,brazilian,
effect_base_chance_format,gv_heroes_tooltip_overwrites,czech,
effect_base_chance_format,gv_heroes_tooltip_overwrites,french,
effect_base_chance_format,gv_heroes_tooltip_overwrites,german,
effect_base_chance_format,gv_heroes_tooltip_overwrites,italian,
effect_base_chance_format,gv_heroes_tooltip_overwrites,koreana,
effect_base_chance_format,gv_heroes_tooltip_overwrites,koreanb,
effect_base_chance_format,gv_heroes_tooltip_overwrites,polish,
effect_base_chance_format,gv_heroes_tooltip_overwrites,russian,
effect_base_chance_format,gv_heroes_tooltip_overwrites,schinese,
effect_base_chance_format,gv_heroes_tooltip_overwrites,spanish,
effect_clear_guarded,gv_heroes_tooltip_overwrites,brazilian,
effect_clear_guarded,gv_heroes_tooltip_overwrites,czech,
effect_clear_guarded,gv_heroes_tooltip_overwrites,french,
effect_clear_guarded,gv_heroes_tooltip_overwrites,german,
effect_clear_guarded,gv_heroes_tooltip_overwrites,italian,
effect_clear_guarded,gv_heroes_tooltip_overwrites,koreana,
effect_clear_guarded,gv_heroes_tooltip_overwrites,koreanb,
effect_clear_guarded,gv_heroes_tooltip_overwrites,polish,
effect_clear_guarded,gv_heroes_tooltip_overwrites,russian,
effect_clear_guarded,gv_heroes_tooltip_overwrites,schinese,
effect_clear_guarded,gv_heroes_tooltip_overwrites,spanish,
effect_clear_guarding,gv_heroes_tooltip_overwrites,brazilian,
effect_clear_guarding,gv_heroes_tooltip_overwrites,czech,
effect_clear_guarding,gv_heroes_tooltip_overwrites,french,
effect_clear_guarding,gv_heroes_tooltip_overwrites,german,
effect_clear_guarding,gv_heroes_tooltip_overwrites,italian,
effect_clear_guarding,gv_heroes_tooltip_overwrites,koreana,
effect_clear_guarding,gv_heroes_tooltip_overwrites,koreanb,
effect_clear_guarding,gv_heroes_tooltip_overwrites,polish,
effect_clear_guarding,gv_heroes_tooltip_overwrites,russian,
effect_clear_guarding,gv_heroes_tooltip_overwrites,schinese,
effect_clear_guarding,gv_heroes_tooltip_overwrites,spanish,
effect_stealth_format,gv_heroes_tooltip_overwrites,brazilian,
effect_stealth_format,gv_heroes_tooltip_overwrites,czech,
effect_stealth_format,gv_heroes_tooltip_overwrites,french,
effect_stealth_format,gv_heroes_tooltip_overwrites,german,
effect_stealth_format,gv_heroes_tooltip_overwrites,italian,
effect_stealth_format,gv_heroes_tooltip_overwrites,koreana,
effect_stealth_format,gv_heroes_tooltip_overwrites,koreanb,
effect_stealth_format,gv_heroes_tooltip_overwrites,polish,
effect_stealth_format,gv_heroes_tooltip_overwrites,russian,
effect_stealth_format,gv_heroes_tooltip_overwrites,schinese,
effect_stealth_format,gv_heroes_tooltip_overwrites,spanish,
effect_tooltip_stress_heal_format,gv_heroes_tooltip_overwrites,brazilian,
effect_tooltip_stress_heal_format,gv_heroes_tooltip_overwrites,czech,
effect_tooltip_stress_heal_format,gv_heroes_tooltip_overwrites,french,
effect_tooltip_stress_heal_format,gv_heroes_tooltip_overwrites,german,
effect_tooltip_stress_heal_format,gv_heroes_tooltip_overwrites,italian,
effect_tooltip_stress_heal_format,gv_heroes_tooltip_overwrites,koreana,
effect_tooltip_stress_heal_format,gv_heroes_tooltip_overwrites,koreanb,
effect_tooltip_stress_heal_format,gv_heroes_tooltip_overwrites,polish,
effect_tooltip_stress_heal_format,gv_heroes_tooltip_overwrites,russian,
effect_tooltip_stress_heal_format,gv_heroes_tooltip_overwrites,schinese,
effect_tooltip_stress_heal_format,gv_heroes_tooltip_overwrites,spanish,
effect_tooltip_stun,gv_heroes_tooltip_overwrites,brazilian,
effect_tooltip_stun,gv_heroes_tooltip_overwrites,czech,
effect_tooltip_stun,gv_heroes_tooltip_overwrites,french,
effect_tooltip_stun,gv_heroes_tooltip_overwrites,german,
effect_tooltip_stun,gv_heroes_tooltip_overwrites,italian,
effect_tooltip_stun,gv_heroes_tooltip_overwrites,koreana,
effect_tooltip_stun,gv_heroes_tooltip_overwrites,koreanb,
effect_tooltip_stun,gv_heroes_tooltip_overwrites,polish,
effect_tooltip_stun,gv_heroes_tooltip_overwrites,russian,
effect_tooltip_stun,gv_heroes_tooltip_overwrites,schinese,
effect_tooltip_stun,gv_heroes_tooltip_overwrites,spanish,
effect_tooltip_torch_format,gv_heroes_tooltip_overwrites,brazilian,
effect_tooltip_torch_format,gv_heroes_tooltip_overwrites,czech,
effect_tooltip_torch_format,gv_heroes_tooltip_overwrites,french,
effect_tooltip_torch_format,gv_heroes_tooltip_overwrites,german,
effect_tooltip_torch_format,gv_heroes_tooltip_overwrites,italian,
effect_tooltip_torch_format,gv_heroes_tooltip_overwrites,koreana,
effect_tooltip_torch_format,gv_heroes_tooltip_overwrites,koreanb,
effect_tooltip_torch_format,gv_heroes_tooltip_overwrites,polish,
effect_tooltip_torch_format,gv_heroes_tooltip_overwrites,russian,
effect_tooltip_torch_format,gv_heroes_tooltip_overwrites,schinese,
effect_tooltip_torch_format,gv_heroes_tooltip_overwrites,spanish,
skill_ignore_guard,gv_heroes_tooltip_overwrites,brazilian,
skill_ignore_guard,gv_heroes_tooltip_overwrites,czech,
skill_ignore_guard,gv_heroes_tooltip_overwrites,french,
skill_ignore_guard,gv_heroes_tooltip_overwrites,german,
skill_ignore_guard,gv_heroes_tooltip_overwrites,italian,
skill_ignore_guard,gv_heroes_tooltip_overwrites,koreana,
skill_ignore_guard,gv_heroes_tooltip_overwrites,koreanb,
skill_ignore_guard,gv_heroes_tooltip_overwrites,polish,
skill_ignore_guard,gv_heroes_tooltip_overwrites,russian,
skill_ignore_guard,gv_heroes_tooltip_overwrites,schinese,
skill_ignore_guard,gv_heroes_tooltip_overwrites,spanish,
str_skill_tooltip_acc_base,gv_heroes_tooltip_overwrites,brazilian,
str_skill_tooltip_acc_base,gv_heroes_tooltip_overwrites,czech,
str_skill_tooltip_acc_base,gv_heroes_tooltip_overwrites,french,
str_skill_tooltip_acc_base,gv_heroes_tooltip_overwrites,german,
str_skill_tooltip_acc_base,gv_heroes_tooltip_overwrites,italian,
str_skill_tooltip_acc_base,gv_heroes_tooltip_overwrites,koreana,
str_skill_tooltip_acc_base,gv_heroes_tooltip_overwrites,koreanb,
str_skill_tooltip_acc_base,gv_heroes_tooltip_overwrites,polish,
str_skill_tooltip_acc_base,gv_heroes_tooltip_overwrites,russian,
str_skill_tooltip_acc_base,gv_heroes_tooltip_overwrites,schinese,
str_skill_tooltip_acc_base,gv_heroes_tooltip_overwrites,spanish,
str_skill_tooltip_crit_mod,gv_heroes_tooltip_overwrites,brazilian,
str_skill_tooltip_crit_mod,gv_heroes_tooltip_overwrites,czech,
str_skill_tooltip_crit_mod,gv_heroes_tooltip_overwrites,french,
str_skill_tooltip_crit_mod,gv_heroes_tooltip_overwrites,german,
str_skill_tooltip_crit_mod,gv_heroes_tooltip_overwrites,italian,
str_skill_tooltip_crit_mod,gv_heroes_tooltip_overwrites,koreana,
str_skill_tooltip_crit_mod,gv_heroes_tooltip_overwrites,koreanb,
str_skill_tooltip_crit_mod,gv_heroes_tooltip_overwrites,polish,
str_skill_tooltip_crit_mod,gv_heroes_tooltip_overwrites,russian,
str_skill_tooltip_crit_mod,gv_heroes_tooltip_overwrites,schinese,
str_skill_tooltip_crit_mod,gv_heroes_tooltip_overwrites,spanish,
str_skill_tooltip_dmg_mod,gv_heroes_tooltip_overwrites,brazilian,
str_skill_tooltip_dmg_mod,gv_heroes_tooltip_overwrites,czech,
str_skill_tooltip_dmg_mod,gv_heroes_tooltip_overwrites,french,
str_skill_tooltip_dmg_mod,gv_heroes_tooltip_overwrites,german,
str_skill_tooltip_dmg_mod,gv_heroes_tooltip_overwrites,italian,
str_skill_tooltip_dmg_mod,gv_heroes_tooltip_overwrites,koreana,
str_skill_tooltip_dmg_mod,gv_heroes_tooltip_overwrites,koreanb,
str_skill_tooltip_dmg_mod,gv_heroes_tooltip_overwrites,polish,
str_skill_tooltip_dmg_mod,gv_heroes_tooltip_overwrites,russian,
str_skill_tooltip_dmg_mod,gv_heroes_tooltip_overwrites,schinese,
str_skill_tooltip_dmg_mod,gv_heroes_tooltip_overwrites,spanish,
